apartment_id,case_number,distance_miles
0,C25-1247,1.242153437084899
0,C25-1248,1.242153437084899
0,C25-1249,1.8589328815186295
0,C25-1250,1.0184498124255086
0,C25-1251,1.8886408237445316
0,C25-1252,1.2013374134550734
1,C25-1588,1.5848547560197697
1,C25-1589,1.192358944734434
1,C25-1590,0.9578405188873812
1,C25-1591,1.037305205794694
1,C25-1592,1.4674235490805785
1,C25-1593,1.7054067531291415
1,C25-1580,1.178550688074334
1,C25-1581,2.6614602439459873
1,C25-1582,0.9506039783939562
1,C25-1583,1.4521265354866864
1,C25-1584,0.867931052456236
1,C25-1585,1.7405930737313866
1,C25-1586,1.3389259057983218
1,C25-1587,1.5794672641628213
1,C25-1578,1.436011190294233
1,C25-1579,0.9820606454942025
1,C25-1577,1.8073482932639082
1,C25-1575,0.9820606454942025
1,C25-1576,1.1759831606809839
1,C25-1573,1.6158361474513954
1,C25-1574,1.3376134171526395
1,C25-1571,0.992726798314211
1,C25-1572,1.638648968889523
1,C25-1568,1.9155028256441295
1,C25-1569,1.7054067531291415
1,C25-1570,0.8986577196691685
1,C25-1560,2.395148111976541
1,C25-1561,1.6904993572206872
1,C25-1562,1.494772361886219
1,C25-1563,0.9804930345430769
1,C25-1565,1.1575949639973893
1,C25-1567,1.625815555660084
1,C25-1556,1.2883563663844515
1,C25-1557,1.037305205794694
1,C25-1558,1.037305205794694
1,C25-1553,0.10444605842725109
1,C25-1554,1.6042797900612884
1,C25-1555,0.5238979711568129
1,C25-1550,1.5430506008383607
1,C25-1551,0.9820606454942025
1,C25-1552,0.867931052456236
1,C25-1543,0.867931052456236
1,C25-1544,1.0912979789859947
1,C25-1545,1.0939928746489296
1,C25-1546,1.5411677541776343
1,C25-1547,1.409595194671082
1,C25-1548,1.6904993572206872
1,C25-1549,1.7054067531291415
1,C25-1539,1.240435864003188
1,C25-1540,1.3137977180715925
1,C25-1541,1.545262951386682
1,C25-1542,0.9553842987646132
1,C25-1537,1.499161168712949
1,C25-1538,1.3389259057983218
1,C25-1526,1.3389259057983218
1,C25-1527,1.3324464544579295
1,C25-1528,1.257270387853022
1,C25-1529,0.867931052456236
1,C25-1530,1.545262951386682
1,C25-1531,1.0814351327830793
1,C25-1532,1.3068662802874578
1,C25-1533,1.1341656527025605
1,C25-1534,1.5714999251353508
1,C25-1535,1.3137977180715925
1,C25-1536,1.5357698981239303
1,C25-1521,2.74523059153339
1,C25-1522,0.9804930345430769
1,C25-1523,1.5512053950308256
1,C25-1524,1.368689217362161
1,C25-1525,0.9553842987646132
1,C25-1517,1.1759831606809839
1,C25-1518,1.3068662802874578
1,C25-1519,1.4405109706067543
1,C25-1520,0.924539984809592
1,C25-1512,1.5892834923680175
1,C25-1513,1.584486350822322
1,C25-1514,1.0901987323773483
1,C25-1515,1.192358944734434
1,C25-1516,1.0204770877984328
1,C25-1508,1.3068662802874578
1,C25-1510,1.7328514835397086
1,C25-1511,1.901790969970916
1,C25-1502,1.7827576923566444
1,C25-1503,0.9450779832275145
1,C25-1504,1.3068662802874578
1,C25-1505,1.6510411841307335
1,C25-1506,0.9553842987646132
1,C25-1507,1.5411677541776343
1,C25-1500,1.1759831606809839
1,C25-1501,1.8332033860308852
1,C25-1494,1.906114472438184
